"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"16.06.2023","4,8199","4,8112","4,8506","4,8060","","0,20%"
"15.06.2023","4,8102","4,8144","4,8446","4,7949","","-0,09%"
"14.06.2023","4,8146","4,8627","4,8678","4,7962","","-0,98%"
"13.06.2023","4,8622","4,8622","4,8799","4,8475","","0,02%"
"12.06.2023","4,8613","4,8794","4,9007","4,8611","","-0,36%"
"09.06.2023","4,8791","4,9208","4,9276","4,8524","","-0,90%"
"07.06.2023","4,9235","4,9134","4,9325","4,8995","","0,22%"
"06.06.2023","4,9125","4,9292","4,9564","4,9004","","-0,33%"
"05.06.2023","4,9289","4,9581","4,9765","4,9121","","-0,57%"
"02.06.2023","4,9571","5,0148","5,0152","4,9453","","-1,13%"
"01.06.2023","5,0140","5,0553","5,0588","5,0044","","-0,86%"
"31.05.2023","5,0574","5,0365","5,1279","5,0365","","0,43%"
"30.05.2023","5,0357","5,0174","5,0700","4,9990","","0,37%"
"29.05.2023","5,0171","4,9942","5,0209","4,9736","","0,46%"
"26.05.2023","4,9939","5,0375","5,0375","4,9774","","-0,83%"
"25.05.2023","5,0356","4,9618","5,0448","4,9422","","1,49%"
"24.05.2023","4,9619","4,9717","4,9767","4,9349","","-0,19%"
"23.05.2023","4,9714","4,9665","4,9952","4,9503","","0,09%"
"22.05.2023","4,9667","4,9983","5,0063","4,9528","","-0,63%"
"19.05.2023","4,9981","4,9668","5,0033","4,9433","","0,66%"
"18.05.2023","4,9652","4,9401","4,9818","4,9391","","0,52%"
"17.05.2023","4,9396","4,9411","4,9714","4,9226","","-0,01%"
"16.05.2023","4,9402","4,8893","4,9542","4,8847","","1,02%"
"15.05.2023","4,8904","4,9196","4,9335","4,8853","","-0,59%"
"12.05.2023","4,9195","4,9308","4,9567","4,9079","","-0,20%"
"11.05.2023","4,9295","4,9443","4,9847","4,9254","","-0,26%"
"10.05.2023","4,9424","4,9882","4,9914","4,9345","","-0,88%"
"09.05.2023","4,9862","5,0097","5,0374","4,9728","","-0,47%"
"08.05.2023","5,0097","4,9531","5,0186","4,9410","","1,17%"
"05.05.2023","4,9518","4,9847","5,0080","4,9250","","-0,61%"
"04.05.2023","4,9822","4,9959","5,0346","4,9694","","-0,25%"
"03.05.2023","4,9949","5,0398","5,0524","4,9812","","-0,87%"
"02.05.2023","5,0387","4,9893","5,0535","4,9889","","1,00%"
"01.05.2023","4,9889","4,9875","4,9895","4,9875","","0,05%"
"28.04.2023","4,9865","4,9776","5,0200","4,9776","","0,19%"
"27.04.2023","4,9771","5,0445","5,0490","4,9693","","-1,32%"
"26.04.2023","5,0435","5,0542","5,0746","5,0353","","-0,12%"
"25.04.2023","5,0497","5,0348","5,0845","5,0294","","0,32%"
"24.04.2023","5,0337","5,0481","5,0863","5,0339","","-0,30%"
"21.04.2023","5,0486","5,0493","5,0493","5,0489","","0,00%"
